,bias,type,allsides_url,agree,disagree,url,confidence
Indy Week,Lean Left,News,https://www.allsides.com/news-source/indy-week,369,408,http://www.indyweek.com/,low
InfoWars,Right,News,https://www.allsides.com/news-source/infowars,5525,1202,http://www.infowars.com/,medium
Inside Higher Ed,Lean Left,News,https://www.allsides.com/news-source/inside-higher-ed-media-bias,22,19,https://www.insidehighered.com/,low
Insider,Lean Left,News,https://www.allsides.com/news-source/insider-media-bias,4273,6524,https://www.insider.com/,medium
International Business Times,Center,News,https://www.allsides.com/news-source/international-business-times,1155,936,http://www.ibtimes.com/,n/a
Iowa Capital Dispatch,Center,News,https://www.allsides.com/news-source/iowa-capital-dispatch-media-bias,17,24,,low
Jacobin,Left,News,https://www.allsides.com/news-source/jacobin-media-bias,1166,282,https://jacobinmag.com/,high
Jewish Insider,Center,News,https://www.allsides.com/news-source/jewish-insider-media-bias,10,13,https://jewishinsider.com/,low
JoeMyGod,Left,News,https://www.allsides.com/news-source/joemygod-media-bias,2,2,https://www.joemygod.com/,low
JRL Charts,Left,News,https://www.allsides.com/news-source/jrl-charts-media-bias,2,2,https://www.jrlcharts.com,low
Jubilee Media,Center,News,https://www.allsides.com/news-source/jubilee-media-bias,357,422,https://www.jubileemedia.com/,n/a
Just Security,Center,News,https://www.allsides.com/news-source/just-security-media-bias,51,56,https://www.justsecurity.org/,low
KALW.org,Center,News,https://www.allsides.com/news-source/kalworg-media-bias,50,58,https://www.kalw.org/,low
KATU,Center,News,https://www.allsides.com/news-source/katu-media-bias,136,164,,low
Kenosha News,Center,News,https://www.allsides.com/news-source/kenosha-news-media-bias,42,69,https://www.kenoshanews.com/,low
KNSI Radio,Center,News,https://www.allsides.com/news-source/knsi-radio-media-bias,0,1,https://knsiradio.com/,low
KSL,Right,News,https://www.allsides.com/news-source/ksl,1032,986,http://www.ksl.com/,low
KTTC News,Center,News,https://www.allsides.com/news-source/kttc-news-media-bias,0,1,https://www.kttc.com/,low
KWCH,Center,News,https://www.allsides.com/news-source/kwch-media-bias,36,33,http://kwch.com,n/a
Laramie Boomerang,Center,News,https://www.allsides.com/news-source/laramie-boomerang-media-bias,26,24,,low
Las Vegas Review-Journal,Center,News,https://www.allsides.com/news-source/las-vegas-review-journal-media-bias,25,22,,low
Latino Rebels,Left,News,https://www.allsides.com/news-source/latino-rebels-media-bias,71,73,,low
Lawfare,Center,News,https://www.allsides.com/news-source/lawfare-media-bias,10,4,https://www.lawfareblog.com/,low
Leesburg Today,Lean Right,News,https://www.allsides.com/news-source/leesburg-today,300,280,http://www.leesburgtoday.com,low
Lexington Herald-Leader,Center,News,https://www.allsides.com/news-source/lexington-herald-leader,33,33,http://www.kentucky.com/,low
Lifehacker,Center,News,https://www.allsides.com/news-source/lifehacker,457,456,http://www.lifehacker.com/,low
Live Science,Center,News,https://www.allsides.com/news-source/live-science-media-bias,127,115,https://www.livescience.com/,low
Log Cabin,Right,News,https://www.allsides.com/news-source/log-cabin-media-bias,2,1,https://logcabin.org,low
Longmont Times-Call,Lean Left,News,https://www.allsides.com/news-source/longmont-times-call,253,221,http://www.timescall.com/,n/a
Los Angeles Times,Lean Left,News,https://www.allsides.com/news-source/los-angeles-times-bias,5161,3828,http://www.latimes.com/,low
Maine Beacon,Lean Left,News,https://www.allsides.com/news-source/maine-beacon-media-bias,15,17,,low
Mankato Free Press,Lean Left,News,https://www.allsides.com/news-source/mankato-free-press-media-bias,0,0,https://www.mankatofreepress.com/,low
MarketWatch,Center,News,https://www.allsides.com/news-source/marketwatch-media-bias,483,1184,https://www.marketwatch.com/,medium
MassLive.com,Lean Left,News,https://www.allsides.com/news-source/masslivecom-media-bias,18,19,https://www.masslive.com/,low
Meaws,Lean Left,News,https://www.allsides.com/news-source/meaws-media-bias,0,2,https://meaws.com/,low
Media Research Center,Right,News,https://www.allsides.com/news-source/media-research-center,1486,1756,https://www.mrc.org/,high
Mediaite,Lean Left,News,https://www.allsides.com/news-source/mediaite-bias,1039,1080,http://www.mediaite.com/,low
Metro Weekly,Left,News,https://www.allsides.com/news-source/metro-weekly-media-bias,27,31,https://www.metroweekly.com/,low
Mexico News Daily,Center,News,https://www.allsides.com/news-source/mexico-news-daily-media-bias,10,10,https://mexiconewsdaily.com/,low
MichelleMalkin.com,Right,News,https://www.allsides.com/news-source/michellemalkincom,696,357,http://michellemalkin.com/,n/a
Military Times,Center,News,https://www.allsides.com/news-source/military-times-media-bias,176,205,https://www.militarytimes.com/,low
Minnesota Lawyer,Center,News,https://www.allsides.com/news-source/minnesota-lawyer-media-bias,5,5,https://minnlawyer.com,low
Minnesota News Network,Center,News,https://www.allsides.com/news-source/minnesota-news-network-media-bias,0,0,https://minnesotanewsnetwork.com/,low
Minnesota Reformer,Left,News,https://www.allsides.com/news-source/minnesota-reformer-media-bias,4,2,https://minnesotareformer.com/,low
MinnPost,Center,News,https://www.allsides.com/news-source/minnpost-media-bias,0,0,https://www.minnpost.com/,low
Mismatch.org,Mixed,News,https://www.allsides.com/news-source/mismatchorg-media-bias,144,150,https://www.mismatch.org/,high
MIT News,Center,News,https://www.allsides.com/news-source/mit-news,338,290,http://news.mit.edu,low
MLive.com,Center,News,https://www.allsides.com/news-source/mlive-media-bias,33,65,http://www.mlive.com/,low
MSNBC,Left,News,https://www.allsides.com/news-source/msnbc,23584,6008,http://www.msnbc.com/,medium
National Catholic Register,Right,News,https://www.allsides.com/news-source/national-catholic-register-media-bias,3,2,https://www.ncregister.com/,low
National Journal,Center,News,https://www.allsides.com/news-source/national-journal,1091,853,http://www.nationaljournal.com/,n/a
National Review,Right,News,https://www.allsides.com/news-source/national-review,21124,8652,http://www.nationalreview.com/,medium
Nautilus Quarterly,Center,News,https://www.allsides.com/news-source/nautilus-quarterly-media-bias,37,34,https://nautil.us/,low
NBC Today Show,Lean Left,News,https://www.allsides.com/news-source/nbc-today-show,1699,1771,http://www.today.com/,n/a
New Hampshire Union Leader,Center,News,https://www.allsides.com/news-source/union-leader,96,109,http://www.unionleader.com/,low
New Jersey Monitor,Lean Left,News,https://www.allsides.com/news-source/new-jersey-monitor-media-bias,16,18,https://newjerseymonitor.com/,low
New Republic,Left,News,https://www.allsides.com/news-source/new-republic,1935,907,http://www.newrepublic.com/,low
New York Magazine,Left,News,https://www.allsides.com/news-source/new-york-magazine,2466,1063,http://nymag.com/,low
New York Post (Opinion),Right,News,https://www.allsides.com/news-source/new-york-post-opinion-media-bias,403,196,https://nypost.com/opinion/,medium
New York Times (Opinion),Left,News,https://www.allsides.com/news-source/new-york-times-opinion-media-bias,17014,4766,https://www.nytimes.com/section/opinion,high
News One,Lean Left,News,https://www.allsides.com/news-source/news-one-media-bias,1,0,https://newsone.com/,low
Newsmax (News),Right,News,https://www.allsides.com/news-source/newsmax,11645,11594,http://www.newsmax.com/,medium
NewsNation,Center,News,https://www.allsides.com/news-source/newsnation-media-bias,317,329,https://www.newsnationnow.com/,low
Newsweek,Center,News,https://www.allsides.com/news-source/newsweek,4470,7957,https://www.newsweek.com/,medium
Newtrals,Center,News,https://www.allsides.com/news-source/newtrals-media-bias,46,36,http://newtrals.com/,low
nj.com,Lean Left,News,https://www.allsides.com/news-source/njcom-media-bias,17,22,https://www.nj.com/,low
North Wright County Today,Center,News,https://www.allsides.com/news-source/north-wright-county-today-media-bias,0,0,https://northwrightcounty.today/,low
NPR (Opinion) ,Lean Left,News,https://www.allsides.com/news-source/npr-editorial,9372,11022,https://www.npr.org/sections/opinion/,low
Ohio Capital Journal,Lean Left,News,https://www.allsides.com/news-source/ohio-capital-journal-media-bias,21,16,,low
One America News Network (OAN),Right,News,https://www.allsides.com/news-source/one-america-news-network-media-bias,2758,1467,,low
Orange County Register,Lean Right,News,https://www.allsides.com/news-source/orange-county-register,433,355,http://www.ocregister.com/,low
Our.News,Center,News,https://www.allsides.com/news-source/ournews-media-bias,31,27,,low
Out In Jersey,Lean Left,News,https://www.allsides.com/news-source/out-jersey-media-bias,1,2,https://outinjersey.net,low
Pacific Standard,Lean Left,News,https://www.allsides.com/news-source/pacific-standard,480,437,http://www.psmag.com/,low
Pasadena Star-News,Center,News,https://www.allsides.com/news-source/pasadena-star-news-media-bias,41,46,https://www.pasadenastarnews.com/,low
PBS NewsHour,Center,News,https://www.allsides.com/news-source/pbs-newshour,3986,3076,http://www.pbs.org/newshour/,low
Pennsylvania Capital-Star,Lean Right,News,https://www.allsides.com/news-source/pennsylvania-capital-star-media-bias,25,26,https://www.penncapital-star.com/,low
Persuasion,Lean Left,News,https://www.allsides.com/news-source/persuasion-media-bias,2,2,https://www.persuasion.community/,low
Phys.org,Center,News,https://www.allsides.com/news-source/physorg,286,159,http://phys.org/,low
PinkNews,Left,News,https://www.allsides.com/news-source/pinknews-media-bias,188,59,https://www.allsides.com/news-source/pinknews-media-bias,low
PJ Media,Right,News,https://www.allsides.com/news-source/pj-media-media-bias,783,328,,low
PoliticusUSA,Left,News,https://www.allsides.com/news-source/politicususa,1227,434,http://www.politicususa.com/,low
Portland Press Herald,Center,News,https://www.allsides.com/news-source/portland-press-herarld,312,467,http://www.pressherald.com/,medium
Poynter,Center,News,https://www.allsides.com/news-source/poynter-media-bias,199,462,https://www.poynter.org/,medium
PRI (Public Radio International),Center,News,https://www.allsides.com/news-source/pri-public-radio-international,839,573,http://www.pri.org/,low
Project Veritas,Right,News,https://www.allsides.com/news-source/project-veritas-media-bias,570,575,https://www.projectveritas.com/,low
Psych Central,Center,News,https://www.allsides.com/news-source/psych-central-media-bias,8,8,https://psychcentral.com/,medium
Public News Service,Center,News,https://www.allsides.com/news-source/public-news-service-media-bias,1,0,https://www.publicnewsservice.org/,low
Quartz,Center,News,https://www.allsides.com/news-source/quartz,802,917,http://qz.com/,low
Quillette,Lean Right,News,https://www.allsides.com/news-source/quillette-media-bias,655,970,,low
Raw Story,Left,News,https://www.allsides.com/news-source/raw-story,1569,595,http://www.rawstory.com/,n/a
Reason,Lean Right,News,https://www.allsides.com/news-source/reason,10152,6241,http://reason.com/,medium
Red Lake Nation News,Center,News,https://www.allsides.com/news-source/red-lake-nation-news-media-bias,2,0,https://www.redlakenationnews.com/,low
Redlands Daily Facts,Center,News,https://www.allsides.com/news-source/redlands-daily-facts-media-bias,31,37,https://www.redlandsdailyfacts.com/,low
Refinery29,Left,News,https://www.allsides.com/news-source/refinery29-media-bias,126,80,https://www.refinery29.com/,medium
Religion News Service,Center,News,https://www.allsides.com/news-source/religion-news-service-media-bias,1,2,https://religionnews.com/,low
Revolver News,Right,News,https://www.allsides.com/news-source/revolver-news-media-bias,75,40,https://www.revolver.news/,low
Right - Major Media Sources,Right,News,https://www.allsides.com/news-source/right-major-publications,377,347,,n/a
Right Wing News,Right,News,https://www.allsides.com/news-source/right-wing-news,484,247,,high
Roll Call,Center,News,https://www.allsides.com/news-source/roll-call-media-bias,311,310,,low
RT,Lean Right,News,https://www.allsides.com/news-source/rt,187,249,https://www.rt.com/,low
San Antonio Express-News,Center,News,https://www.allsides.com/news-source/san-antonio-express-news-media-bias,55,85,https://www.expressnews.com/,low
San Diego Union-Tribune,Lean Left,News,https://www.allsides.com/news-source/san-diego-union-tribune-media-bias-0,72,78,https://www.sandiegouniontribune.com/,n/a
San Gabriel Valley Tribune,Center,News,https://www.allsides.com/news-source/san-gabriel-valley-tribune-media-bias,39,39,https://www.sgvtribune.com/,low
Science Daily,Center,News,https://www.allsides.com/news-source/science-daily,631,392,https://www.sciencedaily.com/,low
SCOTUSblog,Center,News,https://www.allsides.com/news-source/scotusblog-media-bias,89,87,https://www.scotusblog.com/,low
Scriberr Media - Opinion/Editorial,Lean Right,News,https://www.allsides.com/news-source/scriberr-media-opinioneditorial-media-bias,38,41,https://www.scriberrnews.com/opinion/,low
SF Weekly,Center,News,https://www.allsides.com/news-source/sf-weekly,333,422,http://www.sfweekly.com/,n/a
Sky-Hi Daily News,Lean Left,News,https://www.allsides.com/news-source/sky-hi-daily-news,207,212,http://www.skyhidailynews.com/,n/a
Smerconish,Center,News,https://www.allsides.com/news-source/smerconish-media-bias,300,380,http://www.smerconish.com,low
Socialist Alternative,Left,News,https://www.allsides.com/news-source/socialist-alternative,577,262,http://www.socialistalternative.org/,low
South China Morning Post,Center,News,https://www.allsides.com/news-source/south-china-morning-post-media-bias,128,148,,low
Southern Minnesota News,Center,News,https://www.allsides.com/news-source/southern-minnesota-news-media-bias,3,1,https://www.southernminnesotanews.com/,low
Spiked,Lean Right,News,https://www.allsides.com/news-source/spiked-media-bias,85,82,https://www.spiked-online.com/,n/a
Spokesman Review,Lean Left,News,https://www.allsides.com/news-source/spokesman-review,291,339,http://www.spokesman.com/,low
St. Cloud Times,Lean Left,News,https://www.allsides.com/news-source/st-cloud-times-media-bias,0,1,https://www.sctimes.com/,low
